"codice_fiscale","nome","cognome","telefono"
BBCIRY01M37HNC9L,Elsa,Battaglia,+39 145 52 89 5851
FGOZFL00S06MVZ1I,Max,Santoro,+39 976 0781691
MPNMKU18G82PPR3S,Renzo,Palumbo,+39 356 87982265
NHQNDM59T72FZJ6F,Vitalba,Bianchi,+39 909 30934269
ALZZNB74R35BLI0I,Albino,Villa,+39 009 3084380
VDKLCR78U95EWF4D,Piererminio,Barone,+39 252 66832564
DMUIJS45T77MNO2X,Mariano,De Santis,+39 910 3295053
IVTUXW10S86PJU3F,Rebecca,Rossi,+39 80 9132047
EQQZLY20G97AAN7P,Maristella,Ferraro,+39 077 25 37 9802
EGVFEY68E35VVT2S,Pericle,Leone,+39 9220 85285626
FGIRWE54T91NDS5Y,Secondo,Villa,+39 2427 9092781
AFUFJL74Z68YGY3N,Alessandro,Caruso,+39 0127 6981457
UJWBOW53Q10TQV7J,Alan,Parisi,+39 675 0834646
NVGZZW20D15SNY7K,Cesidia,Bianco,+39 046 45001822
PKBVWJ59Q33HTE1N,Nadir,Galli,+39 0913 3106047
GBWOLZ76K05MAK5I,Omar,Guerra,+39 91 77120750
SFUETB76F71VUK3E,Avide,Sala,+39 4503 0007308
SWQWQQ50R12JTO6F,Gabriele,Sanna,+39 0894 1093344
DVCUBC33A02DPQ6A,Rebecca,Barone,+39 985 63 22 8091
KEALKE65C25IAO6Q,Germano,Mancini,+39 78 08363278
GYHLUG46W91VSM9L,Marieva,Ruggiero,+39 098 1525364
QYSWCO07W81SCA2H,Alan,Santoro,+39 57 89586174
CZTEYI40D11EUO7V,Nick,Gatti,+39 445 86 32 5334
HJEDKZ72E78EMX1T,Vienna,Barone,+39 549 6927575
FJLNDB78O94ZPX5D,Lino,Caputo,+39 56 88450389
ZTIHGX56I84DFH1Q,Benedetta,Marino,+39 34 17667449
NQWWXK99D50DKB4C,Xavier,Carbone,+39 179 72911549
QIUSHF77C57QDS2Q,Joshua,Palmieri,+39 0640 48201125
THTTBA78P54YOA1R,Selvaggia,Parisi,+39 33 85848046
BHYAOJ53P52PKM5D,Ortensia,De Angelis,+39 427 24453531
FRXNYD27H80NRF6D,Enrica,Marino,+39 425 06 17 4439
HIGQKA36U06ASF2X,Giulietta,Bianco,+39 012 06543573
YDFKKL06B87ICI5G,Germano,Negri,+39 8352 75456202
YZEYTS96H69JBY9A,Felicia,Pellegrini,+39 9796 6835687
LHEBOQ36G73WLU1C,Giuliano,Rinaldi,+39 097 4688935
LUDTAD10O35GTE9U,Mariagiulia,Barone,+39 37 86643247
EGBSCK08O21TZG1T,Erminia,Mancini,+39 062 86315799
ZPUTRR13M74PUM9T,Noah,Monti,+39 2466 9444042
IFEFKI53Q01QAX1K,Armando,Moretti,+39 5913 2712680
DXVBLA02B89NIP9J,Alan,Gatti,+39 73 5257713
FVMZSW20V16KUC2M,Laura,Riva,+39 82 3329956
XTDMPS07V46ZAW8M,Domiziano,Mazza,+39 126 86038473
NHOCQD92P61FKN3F,Lucrezia,Vitale,+39 225 9433169
ABSAWA23G34EAS1U,Pietro,Orlando,+39 3498 2489988
OCZYDT77Y74NUX0R,Amos,Sanna,+39 6077 60478113
MHGZDG80H16ZPM5E,Mietta,Colombo,+39 72 68658152
MSUZXB53X14VHY6C,Eriberto,De Angelis,+39 384 36751106
EKHACD95V62RAJ4Z,Noah,Ferrara,+39 66 5874980
TIDZPP51F17XJT1W,Yago,Sorrentino,+39 3699 9258243
YZUYBZ40K30DPS9E,Eusebio,Palumbo,+39 16 97109943
EBFEFR96H86BLF7V,Joannes,Costantini,+39 1499 8585271
KLPBSS99K84JEP4L,Priamo,Piras,+39 78 0350401
WMGXIB72D28XRK7M,Jari,Bernardi,+39 48 40411736
INSKKC95D61GKG4O,Fiorentino,Orlando,+39 7292 27110460
TMVQYK89F05VZU5V,Fiorenzo,Grassi,+39 00 7969508
VFFRLK11L05GUF6V,Serse,Ruggiero,+39 539 2101477
TCXRKP21V26SFH1Q,Bibiana,Galli,+39 9004 2413543
BXRUCX48I07ZJE1L,Sarita,Monti,+39 88 69498574
WNAGTD53B21DTD6M,Anselmo,Benedetti,+39 127 5214018
AQOCKO17X70OCY0W,Evita,Ferraro,+39 834 83779003
FUPCIQ66N32FEJ5E,Leone,Ferraro,+39 77 4554157
BZZTMV24H75UGZ9P,Marco,Vitali,+39 73 49016561
KYCTPG18T34KJD0P,Lamberto,Neri,+39 954 43 36 9246
WKNVHT62K82CZG1Q,Joseph,Conti,+39 433 9130720
JKWZDS99I22HTF1V,Osvaldo,Moretti,+39 75 5749869
YFQVPQ21U71NAK0A,Vitalba,Gallo,+39 1941 54999990
FDHAOP22L85PTE2Q,Sibilla,Conti,+39 624 93 27 6973
WZNVOY59J75QIZ7L,Max,Bernardi,+39 151 6621880
RPSQTP30Z00SWA2W,Odino,Barone,+39 1127 4192707
AKWRPW98C85FVY4D,Marieva,Ricci,+39 992 9653411
KQGOYU67L38VAK6Y,Anastasio,Silvestri,+39 09 94273321
VFVJLH18Y08CTC1L,Dylan,Cattaneo,+39 9674 90539407
FOBTSI89J86MZY7S,Deborah,Piras,+39 96 1583694
VXFENX11I09NTL9W,Odone,Rinaldi,+39 69 32702257
UOZOJX70W89RXM2F,Ursula,Rizzi,+39 53 25625015
DNJAHT23M96BZP2M,Walter,Conte,+39 330 17096143
PMDMPP45L83TGR4C,Ciro,Benedetti,+39 3882 8454795
KBLOVB55U19FCQ5K,Gavino,Palmieri,+39 65 6072912
UEAAHL31G00LCO0T,Deborah,Bernardi,+39 2879 85900854
EMMTTR48H75LUS4H,Neri,Basile,+39 2611 4365261
SOCXRM02C90LKV6E,Ariel,Villa,+39 34 5583707
LQDGCV40W65LRG3L,Giovanna,Orlando,+39 656 37 27 2705
YKODWC37W84PEB0L,Gioacchino,Pellegrini,+39 31 4912854
UAYFOT60B76LVU6Q,Ariel,Farina,+39 712 72388483
RRGTGP52M88JPT0Q,Osea,Martinelli,+39 0742 3631085
HTITDW69W86SCM5U,Folco,Sartori,+39 989 57174153
CTJOXM43Z22QXV8U,Aaron,Damico,+39 2055 89078103
QSODJJ82D80IAF4B,Arduino,Mancini,+39 5505 0526989
SWUVOI67I42JOH8V,Odone,Galli,+39 3584 30473524
ICOHST20G00LWT9B,Ulrico,Parisi,+39 78 2077921
LEWJKU44P39DVQ5I,Piersilvio,Colombo,+39 3898 4118401
PYLIIE04B63YRH4R,Muzio,Costa,+39 3352 1640687
ODJGMU85L11LDH3Z,Rosita,Costantini,+39 52 2748183
FBNQQV13O47RKO1P,Omar,Esposito,+39 3999 56934717
YAIJWY87T64STT9O,Tolomeo,Cattaneo,+39 550 45733055
NKMAMK65Y48GNP0I,Gelsomina,Parisi,+39 4716 10556108
UEWCWZ98B99CAO1E,Sandro,Leone,+39 4375 7493969
VNTHZM60U95OZG0O,Nestore,Mariani,+39 24 4164869
IVOWEG00Z92KGA3P,Neri,Lombardo,+39 22 45381528
CAWIAS59Q02WXN6D,Renzo,Bruno,+39 51 8644947
AHUTQH10K00PDR1H,Amos,Sanna,+39 419 0862966
IUJBBY54S28RSX1T,Danuta,Costa,+39 889 8711218
GWZNIE58U19YDR1J,Samira,D'amico,+39 505 74960285
YELZWW91M62JAC0B,Damiana,Basile,+39 83 29318828
OTMVZA66A00TRP1H,Shaira,Parisi,+39 572 0948259
WQYNFH43I05DAS5C,Piererminio,Martinelli,+39 0297 1781610
SNMRXP23S51LOJ5P,Joey,Ferretti,+39 66 14272766
ZDFHYP10I37CIH3T,Marina,Valentini,+39 111 35739239
PNCTLE29E07LNV5B,Noah,Sorrentino,+39 165 81 62 1605
MBEYDE32P25DQI3F,Fulvio,Romano,+39 934 26 77 3848
WVBPMA07O23PPR0K,Fiorentino,De luca,+39 995 89 73 6306
FXRNTG19A09YFD3T,Pierfrancesco,Bellini,+39 66 4670330
TBUZSL21Y97XRR3F,Ercole,Martini,+39 31 68320031
EWWTWA01Q26LGU0Y,Giordano,Bianco,+39 31 77687167
FTJKOV23K20DXC5S,Demis,Barone,+39 3216 9904696
OSUXNN28L40FCO6P,Isabel,Barbieri,+39 909 84659952
ZKOXUM55Y47GQC9X,Vienna,Lombardo,+39 157 34 12 1256
QFKXPM17E42TIL9X,Raniero,Costa,+39 465 13815126
HPTRNO99I25PVW2G,Eriberto,Donati,+39 95 1827856
BEQTVL69S35LPW7I,Kociss,Marchetti,+39 4962 47133132
WQLNLL01B22WXY6S,Fortunata,Messina,+39 245 1909798
NUHWRN31X43VZE8J,Rudy,Basile,+39 376 4509681
AHQUMD22V09TDC8B,Gastone,Leone,+39 185 0348564
AMYNRC34P44MBU9Z,Ettore,Pellegrino,+39 003 07 16 1837
DUXWSB80A80DAX8F,Eriberto,Marino,+39 48 81486139
ZFXILY52F01LLJ9F,Monia,Moretti,+39 517 41036925
ROOKVE43O79FCJ1N,Helga,Sorrentino,+39 442 01502341
TJRFXF52G79LTT5B,Alan,Moretti,+39 822 36 06 5658
EQBIEZ33V21XLI8E,Ettore,Rizzo,+39 20 95079501
ICMYZM57G39BCO6J,Matilde,Galli,+39 433 25965090
KFUUWB86J38NTI8F,Olo,Martini,+39 7436 0447567
BMMMWM29K55JZK5F,Enrico,Palmieri,+39 45 79936998
QOMBBV99E18VQX8L,Marino,Donati,+39 49 63755273
XQXIRD99T56BVQ3M,Mariano,Sorrentino,+39 779 99 87 9673
TMSISX15L37BEW4D,Cleros,Esposito,+39 870 7757477
WTHNBY06O91BNU8X,Rosaria,Bernardi,+39 6434 34485902
BQHNYY40M89HRT3I,Noemi,De Santis,+39 34 56700630
ZYFUQL96K65OSS2C,Ivano,Marino,+39 982 54267084
JDINFU00R08OGD7H,Artemide,Negri,+39 159 97 27 3831
VUVMBJ16O45YOB3F,Tristano,Bellini,+39 286 3168741
YNCHBM48O90OJU6N,Folco,Ferrari,+39 27 43296129
BCFESK96U58RSU9X,Gianantonio,Benedetti,+39 31 3500231
CNKGBU28X08SID1F,Eliziario,De luca,+39 1185 61852845
ZMMZAK25V74GEC7H,Gregorio,Lombardo,+39 49 4778194
HTRQWN31P32QCB2B,Sabatino,D'angelo,+39 621 90 46 9032
VGDOHI60A68RXJ2D,Samira,Marini,+39 104 34659027
GBDTEW10O49WAE6W,Cristyn,Sala,+39 189 54179149
XRBHRA98C80KOI2M,Monia,Gentile,+39 3048 3740346
YRPOUR40L55BGY4I,Sesto,Pellegrini,+39 07 3652843
LWXXBT50R52OGT7R,Nunzia,Piras,+39 48 12350384
EBKOKN41O52IYS7K,Cosetta,Villa,+39 61 9606473
JSYNLV95O45RKR0H,Davis,Pellegrino,+39 916 00939651
AAUQLJ80V65MQW7A,Helga,Vitale,+39 280 91910535
ZBKPPW57L76ZSH3N,Vienna,Gallo,+39 12 12266800
KDNRWG47T48FFU2I,Augusto,Cattaneo,+39 88 28579255
UOXUYD82D57HHZ4P,Loredana,Serra,+39 610 2478879
ILBFUO60E08UYJ4S,Gerlando,Ferretti,+39 44 3317192
EGGQLM54Q39NDC5V,Tommaso,Bellini,+39 27 0504377
YXJCSX99C27GDP8A,Felicia,Esposito,+39 1793 7105792
AHOTPH12N06NCG5H,Rodolfo,Milani,+39 750 40253715
DMVWYL87T36VJN6L,Bortolo,Ferrara,+39 309 22 28 6960
RHGGVF32F69OQG5Y,Bettino,Rossi,+39 386 7129935
KJDSVB51N22WDD2O,Eusebio,Bianco,+39 51 6423398
WQHFST01E78EWO7Z,Kai,Coppola,+39 618 7373335
VKOMAL34O93RXN8Z,Quirino,Pagano,+39 9598 9655083
IECQAL92D99THH8I,Gilda,Romano,+39 99 52235287
PEMSWD79T68AVC9G,Emilia,Marino,+39 271 03396919
IIRNAQ54C36QFI3A,Damiano,Galli,+39 0025 4745362
UPDADB67M83PBG5U,Alberto,Milani,+39 8954 1946717
EDECTR76I80PUI4Q,Antonio,Esposito,+39 93 37904449
SUIMBA41Z81XVB5J,Morgana,Coppola,+39 180 58 97 0972
HUHSGT79Q37QVL2M,Caio,Moretti,+39 214 42 62 6712
FBEWUE24S92UBU6K,Silverio,Grassi,+39 25 6282002
GLZVGS00O79OVI2A,Amedeo,Ferri,+39 734 93697269
SUDVSP41I05GTX5J,Raniero,Carbone,+39 537 47 06 6136
GCIPHJ51Z86WHR2T,Loretta,Montanari,+39 30 2204804
KUVCCS71A00BER0I,Egidio,Esposito,+39 407 53092526
NVREAV72C85HPC4Q,Karim,Messina,+39 02 10477215
CAHOYW42G34BED7V,Cosetta,Costa,+39 3506 3919868
ARRQEU74O59MFS8E,Arduino,Colombo,+39 86 5619484
XBMNFA25T82JNN6P,Giovanna,Rossetti,+39 888 14 12 6073
STZXMI24O04AYT5V,Mattia,Conte,+39 023 7165029
BDIBUW18I67VYZ8B,Nayade,Galli,+39 4140 3565786
RQIUVO75V41DLZ2X,Arturo,Benedetti,+39 9317 99895451
SYXVJY32B58ZUT8I,Trevis,Ferretti,+39 30 1636268
BEAAKG22C14FVV3D,Folco,Ferraro,+39 390 75824982
IDKOVY17R81IDO3Z,Sandro,Serra,+39 2042 51350216
NMBRUO04U38QUO9Q,Davide,Costa,+39 1949 18794694
JUIMEF51A33VOU1F,Giacinto,Sorrentino,+39 30 24784123
IVDFZP95Y97THC1M,Jarno,Ferretti,+39 34 3680291
FWRNWB46V23AEG6C,Piccarda,De rosa,+39 45 2895035
BZANFO34S35QIV1V,Guendalina,Morelli,+39 4352 7343517
ZUOZUI58H25CJX7W,Nabil,Parisi,+39 01 6011344
WRGKTT96N24FQX7E,Antonino,Amato,+39 54 3715487
KSEYVP63E80CCH3B,Antimo,Rinaldi,+39 85 96886379
GDCRAL82E62MNM7T,Karim,Serra,+39 79 0185352
FLNTJY85Q87KUU8C,Raoul,Sanna,+39 530 99 62 6386
GVQQZS66L39XGQ1G,Demis,Leone,+39 4275 04635555
TBZXWN69U20XKM8Q,Radames,Ferretti,+39 223 8955072
QJGCNV24J02XYV6N,Lamberto,Villa,+39 784 15 72 1863
JBMKCC31G97MKR9O,Demis,Rizzo,+39 641 0216677
CJLQIL60S30JHO8P,Arcibaldo,Ferretti,+39 074 2850297
ZHODLM02K50ZST1L,Lazzaro,Cattaneo,+39 86 64701240
LCRDIU15R98BYK0N,Loretta,Vitali,+39 75 48778163
QCKVXB56D79LYG1Q,Kai,Benedetti,+39 2485 53041454
FMTQCS76L43STI1X,Mirko,Monti,+39 486 39 48 1020
ERWJCG88F28RJE7Y,Flaviana,Villa,+39 99 2447899
CNOYEF39Q30IEI0X,Laura,Sartori,+39 190 0979730
JEJQEE62J41ITA6T,Laura,Farina,+39 0811 5189860
SARMFW16Y37PWT2Y,Vinicio,Pellegrino,+39 062 2019238
HRFLYZ30G10BGO0M,Augusto,Palumbo,+39 710 67 32 0527
OCMAPX02T45CUM6M,Mattia,Fabbri,+39 72 22836022
ETXYVY42O29BYE4R,Pacifico,Sartori,+39 873 5680460
PUAHKK28O30HUT6I,Iacopo,Leone,+39 05 37292544
CMUBJT20T75LZZ6V,Gianmaria,Ferri,+39 231 47 34 0665
LFZHUI45I78OBY4I,Cleopatra,Santoro,+39 744 40 60 2400
GZALST16P57HPQ3M,Sue,ellen Costa,+39 9563 03419739
MTYTPJ66J58HTQ7F,Cira,Piras,+39 85 84630569
MATDVN26W39LBP0A,Ian,Villa,+39 7260 1868707
WKKVIO44W37IEA6L,Cristyn,Longo,+39 5046 38790399
FOOXGD80S74IGX0I,Brigitta,Donati,+39 919 7521166
HXUGLW10T04MTD8J,Quarto,Valentini,+39 750 74 57 3691
PWISDU71L58SXF5U,Trevis,Santoro,+39 8975 49518704
JZMIOE26B23ISY7K,Pietro,Esposito,+39 640 27736136
BRVLDK07O38JSA0J,Cirino,Leone,+39 2179 3373123
PEQBDX37M40XIF6K,Celeste,Piras,+39 632 5661220
AQYNAG11Z19TZM9O,Lauro,Romano,+39 489 7146709
HGHMUT02C65VPA9R,Maggiore,Fontana,+39 7441 1324027
TDFVNR73T03WAV3J,Bibiana,Martini,+39 2959 32207513
LOYWVD91U58WJA0C,Alan,Conti,+39 570 61 87 8336
WVOQCY65M12WZI0U,Antonino,Galli,+39 7078 61626057
ZAIYTG48E68IQK9B,Monia,Caruso,+39 532 7134861
XATIGZ57E95FTB2Q,Joseph,Coppola,+39 8922 77569916
UMVQRU89R41TRZ1L,Amos,Ferri,+39 174 76 98 8747
APFTVQ37W73RJO7H,Soriana,Vitale,+39 27 44470637
GQQNJM67I49FID9S,Cassiopea,Barbieri,+39 228 42 76 1354
RKZUXT51L24TTN8O,Demis,Ruggiero,+39 734 6180052
DMMBBR14O00FRH9Z,Eustachio,Martinelli,+39 396 3487415
AHWWPJ91S85CJS7I,Maika,Santoro,+39 44 27655925
NWFRZX60U60JSB1L,Zelida,Carbone,+39 22 61048534
BNOYIY21P51XIE4G,Samuel,Barone,+39 393 1282735
AJSITH69J96WDG5A,Arturo,Rizzo,+39 602 37 66 5165
SWFBHX70I66LVS9Q,Arcibaldo,Palumbo,+39 8287 45760887
RTGMZV48O24CIW8O,Fortunata,Ferrari,+39 81 75171520
VUFFKJ83S20GPY4N,Elga,Silvestri,+39 709 2214792
LCCIVK64O54KQF4L,Rita,Galli,+39 4448 92046146
VUQTYC10I90TMI9H,Genziana,Caruso,+39 7082 4315550
VCOBFP41Q89MVH8P,Alberto,Sorrentino,+39 090 34 37 3364
JCWPMJ61E34YVM3C,Bettino,Ferretti,+39 934 98 66 5160
FSSLYZ56Q36UGF2A,Sibilla,Rinaldi,+39 6318 19314561
KJFFOC96O79TUU2O,Gilda,Romano,+39 0172 83451694
MMVVNL18H86GRB7H,Mecren,Rizzo,+39 173 83 34 4074
DKWKKW99O03YZB9C,Giancarlo,Ferrari,+39 8251 5155077
JZORDU47B79ZBH8I,Ian,Rossi,+39 45 2789313
VEJPAS42Z81EGK1V,Fabio,Santoro,+39 4787 1107929
KJZJDL98Z41DRA9Z,Michele,Parisi,+39 0277 31848692
HVXVJQ67W69RMQ9U,Jelena,Piras,+39 6692 48219384
JQRFHD15P17JTI6X,Joseph,Ferretti,+39 91 21377519
YSEXRZ61G32OCS7J,Emilia,D'amico,+39 255 12 10 1676
NCAMFB63R18XMV9T,Rita,Martino,+39 62 0003039
DVMNEA62W57ADR7I,Anastasio,Fontana,+39 738 7340408
LUXRZN32M98HPI4B,Valdo,Orlando,+39 737 7772498
ONHMJH29I81ZLO5M,Ivonne,Bruno,+39 770 23 96 9385
MXUKCL84U76DIB1P,Giulietta,Bianco,+39 4628 18310471
OQNBSS52P94KPS2T,Ciro,Bernardi,+39 6271 17190494
DTIUYM97F31ZZT9L,Genziana,Barbieri,+39 246 76 54 8777
GXJFXW82T43OPM1I,Secondo,Marchetti,+39 69 6492117
ITWOXP20T28DBB1T,Egisto,Bruno,+39 200 32825543
AFFJUU58N50XPL6L,Loredana,Bianco,+39 43 8176382
ITPCLJ39U10VND4G,Antonino,Ferri,+39 085 7248699
TCKTHX19Y26FIZ1T,Danuta,Costantini,+39 84 3718598
EZRZKE60Q95MQJ5P,Morgana,Pellegrini,+39 36 2091946
HAXPZT84L65HHC8T,Enrica,Caputo,+39 2588 45857572
LYZJOC51Q17WJV3H,Vinicio,Costa,+39 70 7243921
AXWZDH84B10HFE9N,Kociss,Giuliani,+39 555 90 63 9580
UZXISS05X74SNL9A,Ettore,Benedetti,+39 238 16 09 1696
CBLNNB35O93KFT6X,Egidio,Ferrari,+39 99 72814462
DOTFFE76Y75XPW0W,Lia,Longo,+39 79 69214546
SMIMIF16Y49TBN8Z,Arduino,Fabbri,+39 050 45399875
FMGLHA13G07TGV1K,Eufemia,Mazza,+39 94 57253651
ECVAZA98X98UIO6Y,Timoteo,Piras,+39 750 25 15 2890
JSWLZS66H74MDW0R,Arcibaldo,Palmieri,+39 51 3473027
ZSDGSX11C85KJJ5T,Artes,D'amico,+39 7984 0534247
QEOCMN04Q74NSI7D,Olo,Mariani,+39 099 81 87 9523
BVTEVZ79D87XRT4L,Orfeo,Bruno,+39 4726 31296916
EBNWMM25M75SWM7J,Gianmaria,Marini,+39 86 15431548
YLFMLY03M77YYS3Q,Abramo,Esposito,+39 68 35950670
DSEEWQ77F09GZN1G,Antimo,Bianco,+39 401 1999628
VCSNYB86D43OWC3S,Anastasio,Caruso,+39 70 7403980
MXHZSW75I61FEX6M,Muzio,Ferretti,+39 862 45 58 3235
NCGEJQ71Z92AOQ1E,Anselmo,Neri,+39 4649 09304883
REGOXA46C08NHN0G,Gabriele,Morelli,+39 01 67187593
KLTAKV30V56QSO5E,Luigi,Battaglia,+39 275 90 28 6182
FQFFOR80Y08UNY7F,Audenico,Fabbri,+39 40 3551887
HLEGWZ61J62ZRN2V,Ermes,Leone,+39 071 7241570
UYSFII29W75VMA0T,Bortolo,Grassi,+39 989 1529911
IVRQPW16F89XSV8M,Bortolo,Lombardi,+39 082 49 81 9007
OBPRNV35E43TCF8W,Cassiopea,Grasso,+39 351 4415297
ZJYMYZ76R07FMH0F,Ippolito,Esposito,+39 46 1797718
YIQOKY10V91NYQ0M,Maruska,Amato,+39 2774 6081616
BTNFIH24E88OAK5B,Secondo,Fiore,+39 436 65160373
UQXEJT20T90XPV1T,Rosolino,Amato,+39 1824 36117869
PQPBHI29H54YHB7O,Cleros,Mazza,+39 80 74721349
VRABDL44A59RWI2V,Nico,Pellegrino,+39 596 2333116
CDLNIB74Q56JTJ7Z,Damiano,Morelli,+39 724 9705097
JMEZME63V84YOT8E,Benedetta,Serra,+39 565 33754383
WTGKQH65O80YQQ9U,Mietta,Rossetti,+39 5872 8064041
UFVPBD57N94LFQ5U,Laura,Piras,+39 73 2184802
SZKEFV37A67VGW7A,Michael,Fontana,+39 1620 3522662
OIXRMX90B03VNL3O,Erminia,Martinelli,+39 0119 43547971
UIWKTP69X23EOC3B,Pericle,Villa,+39 285 39 48 2448
HAPHJH99P05WHB3L,Gregorio,Costa,+39 115 05659260
TMSXCD08H85BHS4F,Ludovico,Palumbo,+39 705 09716068
AUYBPR42L99HFD8X,Gianantonio,Rizzo,+39 583 2761361
WKYYHF48M43PWP9F,Vitalba,Giuliani,+39 36 1689263
TRLWWS88X01SBQ3K,Rita,Grasso,+39 802 31849249
KEXCGE73X72KMK1Q,Marcella,De rosa,+39 6920 34400788
UTCNMF58G04EHF9C,Graziano,Testa,+39 20 11773784
UCAIVL34W57LNB2C,Lino,Greco,+39 17 4122655
VWGUVU12E44MNR4S,Lorenzo,Farina,+39 468 47 61 0259
JVQBLE15K95RPN7O,Ippolito,Silvestri,+39 52 05535162
FDTQQW15W81GWD9J,Domingo,D'amico,+39 68 55084089
ZDNUFS13H59VVU6Y,Dindo,Pellegrino,+39 5428 59423770
UAKNQC46G05GCX7Y,Samuel,Farina,+39 44 48481778
HQMBVL47M38NUU2Z,Abramo,Palumbo,+39 76 03739020
UNSYCB96E68TKB6B,Gilda,Mariani,+39 2029 6713917
OPEEEI69E26SDD5L,Rita,Pellegrino,+39 87 44622043
RXNOZV47J20HBU0I,Kociss,Pagano,+39 4237 41120615
CFAVCF20J76HXK1E,Folco,Neri,+39 050 86 59 4831
MJSBKY45V10NXU6F,Cosetta,Orlando,+39 16 10577837
CXKUGC01H66RPY9O,Selvaggia,Battaglia,+39 272 3089085
GOQROE86W27ONI2D,Ippolito,Costa,+39 16 4247466
GPQBOQ16G87EYC5Z,Evita,Moretti,+39 610 86 21 0843
EWYLEX64S47SDG0Y,Gastone,Rossi,+39 48 35641065
VQKZMM52O99BWJ6O,Gerlando,Fontana,+39 382 8399335
SHYILZ19I62YDZ3O,Mietta,Conte,+39 210 25493493
PEVVUX87Q44AEF6G,Amedeo,Ferraro,+39 918 7355110
GXKXTP70T65PUI1D,Rosita,Serra,+39 9213 54053718
ETQOOF79H58BAS7P,Giobbe,Barbieri,+39 7051 0109918
TRPWLF84H56WMS2S,Jack,Riva,+39 15 9080433
PJNYVR80N15JYG7P,Moreno,Ferri,+39 6176 2946539
PJSPAR47O47CNQ9G,Nico,Parisi,+39 655 79 83 5495
CBILQP38T72GQI6P,Gregorio,Giordano,+39 8719 3293120
QJGDUL06G40OHP2J,Carlo,Valentini,+39 200 80 52 0435
ONDUNB34H55LSR0S,Isira,Sorrentino,+39 3147 4938838
ODULCJ57A87VNI7J,Romolo,Sorrentino,+39 911 64892295
TWBKCJ86L07KPL0R,Gaetano,Parisi,+39 40 1510192
XMOPUW22L43FDW4T,Tolomeo,Conte,+39 18 2020323
UDQUUI62Q44CHN8R,Antonino,Rinaldi,+39 0548 80786305
LQSCPU59X90QQC8U,Marco,Fabbri,+39 25 48280957
GOVXIG67J60XRH0T,Muzio,Romano,+39 017 2087515
RBJTIG65J38CCT3P,Yago,Gatti,+39 3969 78472378
RWPTNK68P49CLC7A,Cecco,Palumbo,+39 6923 01504229
LOOHDA48Y44QNI8H,Jack,Lombardo,+39 39 01879320
SQEAAL13C73ACJ5R,Ariel,Grasso,+39 04 1926992
BTFXQP03R11XGG3P,Noah,Sanna,+39 580 0618884
ODJZBY62R47NXL8C,Brigitta,Mancini,+39 316 2462038
BMPOZA88K48JHB3Q,Piersilvio,Mancini,+39 5248 84018353
DOMSSO71V56XQC1K,Piererminio,Fiore,+39 91 93707912
HTOGGF27D55LIT3T,Isabel,Ruggiero,+39 692 4939546
NFZQKB70E90THG8D,Oreste,Rossetti,+39 333 09 23 2496
BWDLOY61Z67CBU5M,Mirko,Fiore,+39 9759 03455183
BFRFEK12K09AFB6K,Benedetta,Bianchi,+39 1984 52976725
HFJRQH52H16NMD2G,Maruska,Moretti,+39 861 61 52 2333
LYPFIM42W12ZDA8M,Patrizio,Ruggiero,+39 08 10006945
FNOYZY18E06ROT8E,Jarno,Valentini,+39 139 9082366
DLDBNC95T53WWL0T,Demis,Ferrari,+39 069 42703829
MYAZCD75U62VQX3G,Aroldo,Silvestri,+39 596 67173013
GBQWYA65S25CCO5X,Ulrico,Benedetti,+39 005 16921297
ZKLBJX08A53IWD5Y,Sandro,Caruso,+39 16 18106705
MZPOON84C30HFX1A,Battista,Battaglia,+39 37 5128746
PJHJAJ13W80CTA8M,Quarto,Morelli,+39 23 2758246
YWEZIE86Z71ZAT4R,Arturo,Marchetti,+39 75 38453067
SIBKGJ05B38YVZ0C,Bortolo,Serra,+39 816 41 05 3786
HLOICC43I43LVO5V,Nestore,Piras,+39 003 2900923
JGKRUB28Z71NPC2Q,Timoteo,Coppola,+39 191 81961862
PVGUXV63P52JOU6Q,Maristella,Bruno,+39 7195 3923518
RFFTLQ82X60NTO4H,Soriana,Sartori,+39 4872 0726131
QOMTMP57H42YOS5C,Davide,Messina,+39 182 50 37 8261
LVGVZM82U35PNF9K,Marianita,Bruno,+39 83 0597455
TNGHYC48Q18MJJ0H,Leonardo,Bellini,+39 34 50398363
XXRKDS08V70QCF2S,Gerlando,Lombardi,+39 8714 45027894
GYSTYM93C37XWM7F,Artemide,Ferraro,+39 14 05599651
LEWPRF31P45FYL4P,Eustachio,Caputo,+39 371 1547262
ZZGZSV01G90MJM1H,Nazzareno,De Angelis,+39 8780 79051699
VGFTNH36I71WLZ6Z,Carmela,Mariani,+39 421 46 69 0649
LPQQIS02D71MAQ1J,Loredana,Cattaneo,+39 561 37086188
XJVZKC00F25LIL2F,Neri,Battaglia,+39 565 5324330
AJXXEF57A24XCI9P,Armando,Palumbo,+39 2090 09691093
LFRZRQ99G48SID5U,Demian,Sartori,+39 97 5062674
FENNYT89X38UPV8Y,Demis,Donati,+39 69 9462720
MZYJPR60W48GNZ6D,Ferdinando,Orlando,+39 8031 0113240
HFBHZM96O85XVE4W,Bibiana,Moretti,+39 867 40 00 7946
CDTUHI51D00QVB7Z,Quarto,Barone,+39 972 83 65 1649
RNJHGI88S80POI3J,Anselmo,Cattaneo,+39 875 64513670
